brand,avg_price,avg_rating,product_count,min,max,positioning,price_norm,rating_norm,count_norm,value_score
uppercase,3135.79945799458,4.547425474254743,369,749.0,4576.0,Premium,0.4759878859474107,1.0,0.9999999999999999,0.7048024228105177
FUR JADEN,3221.111801242236,4.503105590062112,322,797.0,7999.0,Premium,0.5107829921279525,0.9276707763940646,0.7577319587628865,0.5889983774003077
Skybags,1968.7490774907749,4.1512915129151295,271,791.0,3099.0,Budget,0.0,0.353516770416066,0.4948453608247422,0.32521199345545565
Safari,1987.5714285714287,4.045714285714285,175,1869.0,2099.0,Budget,0.007676798918974437,0.1812167066181951,0.0,0.08907299352530267
Nasher Miles,4420.597989949749,3.9346733668341707,199,2549.0,11097.0,Premium,0.9999999999999998,0.0,0.12371134020618546,-0.1628865979381443
